MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC,POP
PIRACURUCA,1112676.0,4953,8166000.0,11575,1267585.0,1213,421,12,146.23,28791
PIRIPIRI,1020125.0,6278,14611200.0,20989,2516363.04,2409,2079,31,326.16,63742
PORTO,657567.0,2327,3337800.0,4644,55385.0,54,480,11,381.92,12568
PORTO ALEGRE DO PIAUI,105505.0,475,715200.0,947,8360.0,9,130,1,479.7,2710
PRATA DO PIAUI,172167.0,728,967200.0,1396,14630.0,15,24,0,76.17,3151
QUEIMADA NOVA,305283.0,1361,1942200.0,3020,32395.0,32,176,2,195.73,8992
REDENCAO DO GURGUEIA,578452.0,1984,2616000.0,3678,75240.0,73,120,5,136.71,8778
REGENERACAO,800196.0,3777,5104200.0,6814,332310.0,319,144,3,80.1,17978
RIACHO FRIO,233596.0,936,1254600.0,1869,34485.0,30,1,0,2.32,4312
RIBEIRA DO PIAUI,198786.0,1070,1238400.0,1757,12540.0,13,7,0,15.64,4477
RIBEIRO GONCALVES,232867.0,971,1593600.0,2200,100320.0,97,292,5,397.77,7341
RIO GRANDE DO PIAUI,271031.0,1307,1831200.0,2655,22990.0,23,64,1,99.5,6432
SANTA CRUZ DO PIAUI,214233.0,1039,1590000.0,2319,54340.0,53,481,7,770.83,6240
SANTA CRUZ DOS MILAGRES,125538.0,524,876600.0,1313,9405.0,10,20,0,49.76,4019
SANTA FILOMENA,242516.0,928,1472400.0,2118,52250.0,51,34,2,54.37,6253
SANTA LUZ,314937.0,1169,1572000.0,2237,42845.0,42,90,2,153.58,5860
SANTANA DO PIAUI,85677.0,601,1017000.0,1555,15675.0,16,16,0,34.53,4634
SANTA ROSA DO PIAUI,184808.0,932,1365000.0,1986,36575.0,36,33,1,62.77,5257
SANTO ANTONIO DE LISBOA,226624.0,904,1455000.0,2148,57475.0,56,13,0,20.27,6415
SANTO ANTONIO DOS MILAGRES,83427.0,284,454200.0,704,1045.0,1,52,1,240.63,2161
SANTO INACIO DO PIAUI,157229.0,717,1050000.0,1588,45980.0,45,63,2,165.88,3798
SAO BRAZ DO PIAUI,223356.0,1012,1348200.0,2003,25080.0,25,13,0,29.23,4448
SAO FELIX DO PIAUI,93544.0,429,666600.0,980,11495.0,12,26,1,88.38,2942
SAO FRANCISCO DE ASSIS DO PIAUI,326049.0,1253,1627800.0,2496,38665.0,38,14,0,24.33,5755
SAO FRANCISCO DO PIAUI,269655.0,1136,1563000.0,2283,60610.0,59,13,2,20.24,6423
SAO GONCALO DO GURGUEIA,119411.0,462,628800.0,882,16720.0,17,20,2,65.77,3041
SAO GONCALO DO PIAUI,166512.0,852,1250400.0,1776,31350.0,31,73,2,145.56,5015
SAO JOAO DA CANABRAVA,174547.0,820,1130400.0,1668,65835.0,64,54,2,117.19,4608
SAO JOAO DA FRONTEIRA,243036.0,1005,1462800.0,2180,29260.0,29,83,0,137.37,6042
SAO JOAO DA SERRA,307638.0,1219,1734600.0,2603,19855.0,20,127,5,206.87,6139
SAO JOAO DA VARJOTA,130421.0,606,1111800.0,1642,18810.0,19,43,2,88.84,4840
SAO JOAO DO ARRAIAL,490527.0,1864,2464800.0,3627,66880.0,65,254,1,317.94,7989
SAO JOAO DO PIAUI,703009.0,3053,5007000.0,6946,1220560.0,1169,239,2,116.01,20601
SAO JOSE DO DIVINO,225579.0,1057,1638000.0,2420,57475.0,56,50,6,93.53,5346
SAO JOSE DO PEIXE,153341.0,781,994800.0,1402,16720.0,17,20,0,53.4,3745
SAO JOSE DO PIAUI,224297.0,1029,1645800.0,2537,40755.0,40,37,0,55.18,6705
SAO JULIAO,247621.0,1065,1668000.0,2440,36575.0,36,82,1,128.87,6363
SAO LOURENCO DO PIAUI,257117.0,1041,1459200.0,2051,22990.0,23,5,0,10.93,4573
SAO LUIS DO PIAUI,96078.0,380,587400.0,907,12540.0,13,29,0,109.68,2644
SAO MIGUEL DA BAIXA GRANDE,59203.0,288,493800.0,768,27170.0,27,5,0,20.39,2452
SAO MIGUEL DO FIDALGO,135853.0,579,770400.0,1158,24035.0,24,2,0,6.58,3039
SAO MIGUEL DO TAPUIO,477275.0,2743,4404600.0,6642,257070.0,247,155,3,87.76,17662
SAO PEDRO DO PIAUI,568911.0,2814,3756000.0,5345,243485.0,234,363,5,254.01,14291
SAO RAIMUNDO NONATO,1209882.0,5208,9197400.0,13222,1932205.0,1847,1071,7,308.56,34710
SEBASTIAO BARROS,171625.0,761,1221600.0,1784,34485.0,34,4,1,11.53,3469
SEBASTIAO LEAL,100276.0,660,1031400.0,1502,12540.0,13,130,0,302.75,4294
SIGEFREDO PACHECO,380538.0,1972,2634600.0,3859,59565.0,58,101,1,100.59,10041
SIMOES,356622.0,1992,3371400.0,5127,145255.0,139,216,1,147.61,14633
SIMPLICIO MENDES,473929.0,2106,3109800.0,4652,386650.0,371,157,1,123.52,12711
SOCORRO DO PIAUI,206131.0,919,1309800.0,1910,28215.0,28,25,1,54.72,4569
SUSSUAPARA,125292.0,875,1532400.0,2255,50160.0,49,174,3,258.54,6730
TAMBORIL DO PIAUI,140473.0,613,811200.0,1226,7315.0,7,12,0,41.11,2919
TANQUE DO PIAUI,89386.0,464,725400.0,1085,13585.0,14,9,0,32.55,2765
TERESINA,12302594.0,63750,157291800.0,211286,26267124.43,25133,28332,958,327.6,864845
UNIAO,2007519.0,7450,12263400.0,16347,1117105.0,1069,832,26,187.03,44485
URUCUI,718841.0,3151,5832600.0,7582,558030.5,532,1534,22,711.57,21558
VALENCA DO PIAUI,337407.0,2398,5220600.0,7440,1016785.0,974,573,9,273.93,20918
VARZEA BRANCA,236936.0,1174,1605600.0,2270,35530.0,35,29,2,58.62,4947
VARZEA GRANDE,165427.0,868,1202400.0,1712,47025.0,46,33,0,75.15,4391
VERA MENDES,114027.0,644,928800.0,1435,12540.0,13,19,0,61.75,3077
VILA NOVA DO PIAUI,96795.0,491,742800.0,1120,13585.0,14,55,0,185.12,2971
WALL FERRAZ,116141.0,758,1116000.0,1703,14630.0,15,234,1,524.43,4462
