MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC
NAZARE DO PIAUI,48.26175228232729,0.18830903392832812,274.04278512058863,0.3974655947676795,8.970568197302084,0.008720534132715629,0.009401825861834037,0.0002725166916473634,94.02
NAZARIA,53.27666277712952,0.23465577596266043,351.2485414235706,0.4663943990665111,8.29171528588098,0.008051341890315053,0.01131855309218203,0.0008168028004667445,113.19
NOSSA SENHORA DE NAZARE,31.889733059548256,0.175564681724846,288.911704312115,0.40965092402464065,7.5102669404517455,0.007392197125256674,0.008829568788501026,0.0008213552361396304,88.3
NOSSA SENHORA DOS REMEDIOS,53.648757478140816,0.2485043718361712,315.462494247584,0.4590427979751496,4.568568798895536,0.0044868844914864245,0.05257708237459733,0.0009203865623561896,525.77
NOVA SANTA RITA,48.20850480109739,0.22107910379515316,361.3168724279835,0.5354366712391404,3.3447645176040237,0.003429355281207133,0.006630086877000457,0.00022862368541380886,66.3
NOVO ORIENTE DO PIAUI,31.76298552932216,0.16252856054836254,149.06321401370906,0.22543792840822544,7.4813404417364815,0.007311500380807311,0.0070068545316070065,0.0003046458492003046,70.07
NOVO SANTO ANTONIO,54.39451688398529,0.22400534938147776,3187.963891675025,4.55633567368773,12.228351721832164,0.012036108324974924,0.020060180541624874,0.0,200.6
OEIRAS,26.95001215263712,0.1593615814631775,22.247427691809122,0.03127278619460423,47.806584028734235,0.04577493316049583,0.03586378244078965,0.0003780820438035054,358.64
OLHO D'AGUA DO PIAUI,43.211061407076045,0.1956079707198048,849.3696624644165,1.181781211874746,1.6998779991866613,0.0020333468889792597,0.032126880845872306,0.0008133387555917039,321.27
PADRE MARCOS,48.627402446126965,0.21403610949330226,187.12871287128712,0.278683750728014,15.67195690157251,0.015142690739662202,0.012085032032615026,0.00029120559114735004,120.85
PAES LANDIM,50.65778638895616,0.20271252119157182,185.27488496003875,0.2785178009203197,3.79631872124001,0.003875030273674013,0.004601598449987891,0.0002421893921046258,46.02
PAJEU DO PIAUI,33.83682502213042,0.18176453231041606,402.95072292711717,0.5585718501032753,1.5417527294187077,0.0014753614635585719,0.0017704337562702863,0.00029507229271171436,17.7
PALMEIRA DO PIAUI,32.807654174102716,0.16914534999008526,753.3610945865556,1.0241919492365656,9.532024588538569,0.009319849296053936,0.014475510608764624,0.000396589331746976,144.76
PALMEIRAIS,37.23509182199601,0.19843180411307518,73.95281656234954,0.11011761469151936,7.906320929912649,0.007634637870555059,0.013274640621775913,0.0002751220854254075,132.75
PAQUETA,43.63016476552598,0.20785804816223066,722.7376425855514,1.0319391634980988,3.973384030418251,0.004055766793409379,0.00937896070975919,0.0,93.79
PARNAGUA,49.985265499026966,0.1954406449819294,2889.908256880734,4.078213325919748,6.391437308868501,0.0062088777685107965,0.005745528681308498,9.266981744045964e-05,57.46
PARNAIBA,9.911646350226683,0.07143417081487868,9.167875200877983,0.011399417290531625,37.703245665608385,0.036073113053476005,0.04216151243157083,0.0008753707260350933,421.62
PASSAGEM FRANCA DO PIAUI,47.56202179457454,0.20565731509390214,346.25550660792953,0.5233016461859494,4.361233480176211,0.004405286343612335,0.03987943426849061,0.0006955715279387897,398.79
PATOS DO PIAUI,20.68726533166458,0.1414267834793492,186.1389236545682,0.2690863579474343,2.779255319148936,0.002816020025031289,0.006727158948685858,0.0,67.27
PAU D'ARCO DO PIAUI,51.654388133498145,0.22595797280593324,1401.2855377008652,2.016069221260816,0.2583436341161928,0.00024721878862793575,0.024721878862793572,0.0,247.22
PAULISTANA,29.56565804219656,0.18213711445695074,59.87428738488525,0.08829118549919603,45.419310042391466,0.04351215709204307,0.004531501242508405,4.8725819811918335e-05,45.32
PAVUSSU,62.53086755507207,0.303508294805548,2957.410932825673,4.149578460701659,1.1367963013326081,0.0010878433505575197,0.016045689420723416,0.0002719608376393799,160.46
PEDRO II,47.26459656187084,0.18122451086675959,18.94068452841877,0.028186464302307573,28.91539027412111,0.0276702286923752,0.008982499612823292,0.00025811780496618657,89.82
PEDRO LAURENTINO,56.4641167192429,0.22279179810725552,500.1577287066246,0.7421135646687698,2.8844637223974763,0.0027602523659305996,0.005126182965299685,0.0003943217665615142,51.26
PICOS,16.69581447674567,0.12138528802638644,236.8182864155864,0.32848814911406,53.210552146454965,0.05093196287489453,0.03943903249725141,0.000754263506430416,394.39
PIMENTEIRAS,38.99694895687309,0.16285973447678734,237.53607652346005,0.35837387647398367,5.5150078337593795,0.005359940628349963,0.014430609384019131,8.246062505153789e-05,144.31
PIO IX,28.20862957937585,0.17639077340569878,270.05698778833107,0.4014654002713704,13.611940298507463,0.013080054274084124,0.009226594301221167,0.00010854816824966079,92.27
PIRACURUCA,38.64666041471293,0.1720329269563405,283.6303011357716,0.40203535827168213,44.027126532596995,0.04213122156229377,0.014622625125907401,0.0004167969157028238,146.23
PIRIPIRI,16.00396912553732,0.09849079100122368,229.22405948981833,0.3292805371654482,39.4773154278184,0.03779297794233002,0.03261585767625741,0.00048633554014621444,326.16
PORTO,52.32073520050923,0.18515276893698282,265.5792488860598,0.36950986632718014,4.406826861871419,0.00429662635264163,0.03819223424570337,0.0008752387014640357,381.92
PORTO ALEGRE DO PIAUI,38.93173431734317,0.1752767527675277,263.91143911439116,0.34944649446494463,3.084870848708487,0.0033210332103321034,0.04797047970479705,0.00036900369003690036,479.7
